NUMERO,GROUPE
96,0
157,1
22,0
21,0
38,0
37,1
119,0
48,1
91,1
89,0
90,0
47,1
0,1
3,1
4,1
7,0
8,0
9,0
10,1
14,1
19,1
20,1
23,0
24,0
29,1
30,1
31,1
32,1
33,0
34,0
35,0
36,1
39,0
40,1
49,0
50,1
52,0
53,1
54,0
55,0
56,0
57,1
58,1
59,1
60,1
67,0
68,0
73,1
74,1
77,0
78,0
85,1
86,1
87,1
115,1
116,1
117,0
126,1
125,0
88,1
93,0
94,1
97,0
98,1
100,1
101,0
102,1
105,0
106,0
107,0
109,0
110,1
113,0
114,0
127,0
128,1
131,0
132,1
133,0
134,0
139,1
140,1
141,0
142,0
149,1
150,0
155,1
156,1
158,1
159,0
161,1
162,0
173,0
177,1
188,1
121,0
122,0
123,1
124,1
129,1
130,1
135,0
136,1
137,0
138,1
143,1
144,0
151,1
152,0
153,1
160,1
163,0
164,0
169,0
170,1
175,1
176,1
183,0
184,1
187,1
191,0
13,1
15,0
16,0
17,0
18,1
27,0
28,0
41,0
42,1
43,1
44,0
51,1
61,1
62,0
63,0
64,0
75,0
76,0
83,0
84,0
92,1
95,0
99,0
118,0
120,0